CME_ID,t0,dt0_h,pa_deg,da_deg,v_km_s,dv_km_s,minv_km_s,maxv_km_s,halo
0084,2022-02-23 11:36:00,7.0,48.0,18.0,122.0,57.0,103.0,264.0,
0085,2022-02-23 13:24:00,1.0,41.0,8.0,118.0,2.0,115.0,120.0,
0086,2022-02-23 14:00:00,1.0,42.0,10.0,161.0,33.0,104.0,190.0,
0087,2022-02-23 23:12:00,1.0,101.0,12.0,390.0,80.0,292.0,520.0,
0088,2022-02-24 23:48:00,2.0,314.0,50.0,172.0,20.0,135.0,223.0,
0089,2022-02-27 10:36:00,1.0,111.0,24.0,212.0,10.0,191.0,220.0,
0090,2022-02-28 01:37:00,3.0,240.0,22.0,233.0,327.0,139.0,1077.0,
0091,2022-02-28 01:37:00,1.0,241.0,28.0,339.0,26.0,280.0,381.0,
0092,2022-02-28 08:36:00,3.0,93.0,96.0,473.0,71.0,312.0,589.0,II
0093,2022-02-28 16:12:00,1.0,83.0,8.0,189.0,30.0,167.0,240.0,
0094,2022-02-28 16:36:00,1.0,326.0,18.0,195.0,15.0,177.0,220.0,
0001,2022-03-01 04:12:00,1.0,329.0,20.0,161.0,41.0,109.0,246.0,
0002,2022-03-01 04:12:00,1.0,216.0,6.0,140.0,16.0,133.0,172.0,
0003,2022-03-02 04:12:00,2.0,304.0,22.0,271.0,62.0,167.0,351.0,
0004,2022-03-02 11:48:00,2.0,103.0,40.0,376.0,35.0,312.0,430.0,
0005,2022-03-02 15:27:00,1.0,321.0,40.0,364.0,75.0,206.0,505.0,
0006,2022-03-02 18:24:00,2.0,74.0,38.0,228.0,32.0,149.0,272.0,
0007,2022-03-02 18:24:00,2.0,79.0,56.0,339.0,88.0,182.0,557.0,
0008,2022-03-04 18:12:00,5.0,234.0,54.0,218.0,49.0,171.0,332.0,
0009,2022-03-04 20:12:00,2.0,105.0,48.0,400.0,65.0,261.0,538.0,
0010,2022-03-05 02:48:00,1.0,306.0,14.0,297.0,41.0,205.0,318.0,
0011,2022-03-05 05:24:00,1.0,36.0,6.0,127.0,16.0,105.0,143.0,
0012,2022-03-05 17:24:00,3.0,291.0,64.0,356.0,62.0,253.0,538.0,
0013,2022-03-05 21:24:00,0.0,102.0,14.0,245.0,13.0,221.0,258.0,
0014,2022-03-05 21:36:00,1.0,294.0,30.0,128.0,18.0,99.0,174.0,
0015,2022-03-05 21:48:00,2.0,293.0,16.0,321.0,243.0,145.0,762.0,
0016,2022-03-06 02:00:00,1.0,215.0,16.0,280.0,23.0,223.0,297.0,
0017,2022-03-06 02:24:00,1.0,207.0,12.0,202.0,31.0,164.0,262.0,
0018,2022-03-06 03:12:00,1.0,207.0,8.0,227.0,6.0,218.0,234.0,
0019,2022-03-06 04:36:00,2.0,94.0,42.0,213.0,52.0,135.0,289.0,
0020,2022-03-06 04:36:00,1.0,87.0,16.0,111.0,21.0,102.0,153.0,
0021,2022-03-06 05:12:00,0.0,112.0,10.0,244.0,13.0,219.0,260.0,
0022,2022-03-06 23:24:00,3.0,315.0,68.0,255.0,33.0,196.0,303.0,
0023,2022-03-07 14:12:00,5.0,114.0,54.0,299.0,87.0,104.0,411.0,
0024,2022-03-08 02:00:00,1.0,327.0,28.0,183.0,30.0,130.0,226.0,
0025,2022-03-08 04:12:00,1.0,289.0,12.0,291.0,13.0,271.0,304.0,
0026,2022-03-08 04:24:00,1.0,291.0,72.0,422.0,64.0,289.0,512.0,
0027,2022-03-08 08:36:00,4.0,76.0,34.0,184.0,33.0,109.0,233.0,
0028,2022-03-09 03:24:00,1.0,285.0,20.0,322.0,76.0,218.0,446.0,
0029,2022-03-09 07:24:00,8.0,107.0,52.0,127.0,16.0,100.0,165.0,
0030,2022-03-09 23:36:00,4.0,109.0,64.0,191.0,24.0,145.0,236.0,
0031,2022-03-09 23:36:00,1.0,104.0,18.0,168.0,14.0,158.0,194.0,
0032,2022-03-10 03:24:00,1.0,127.0,12.0,347.0,29.0,317.0,388.0,
0033,2022-03-10 18:48:00,1.0,331.0,20.0,385.0,50.0,296.0,452.0,
0034,2022-03-10 19:48:00,7.0,57.0,360.0,486.0,694.0,203.0,2016.0,IV
0035,2022-03-11 10:24:00,2.0,256.0,14.0,271.0,99.0,125.0,388.0,
0036,2022-03-11 13:25:00,2.0,274.0,30.0,235.0,61.0,124.0,351.0,
0037,2022-03-11 23:24:00,5.0,240.0,74.0,303.0,98.0,110.0,497.0,
0038,2022-03-11 23:36:00,4.0,268.0,22.0,379.0,112.0,221.0,556.0,
0039,2022-03-12 09:24:00,3.0,270.0,34.0,185.0,41.0,104.0,260.0,
0040,2022-03-12 09:36:00,3.0,256.0,22.0,181.0,96.0,102.0,395.0,
0041,2022-03-12 17:36:00,0.0,236.0,18.0,195.0,22.0,153.0,232.0,
0042,2022-03-12 21:12:00,2.0,41.0,8.0,331.0,352.0,280.0,946.0,
0043,2022-03-13 05:36:00,1.0,81.0,40.0,222.0,46.0,118.0,292.0,
0044,2022-03-13 07:12:00,2.0,78.0,14.0,190.0,57.0,148.0,300.0,
0045,2022-03-13 11:36:00,1.0,199.0,24.0,212.0,5.0,204.0,223.0,
0046,2022-03-13 21:24:00,3.0,88.0,10.0,105.0,3.0,100.0,109.0,
0047,2022-03-13 23:48:00,1.0,113.0,8.0,134.0,24.0,108.0,178.0,
0048,2022-03-14 00:12:00,1.0,258.0,18.0,333.0,67.0,215.0,422.0,
0049,2022-03-14 12:12:00,8.0,153.0,72.0,103.0,16.0,98.0,167.0,
0050,2022-03-14 17:36:00,2.0,268.0,106.0,600.0,218.0,206.0,1115.0,II
0051,2022-03-14 17:48:00,2.0,188.0,10.0,114.0,9.0,101.0,130.0,
0052,2022-03-14 21:24:00,3.0,167.0,72.0,356.0,100.0,221.0,595.0,
0053,2022-03-15 01:36:00,1.0,159.0,12.0,390.0,91.0,242.0,452.0,
0054,2022-03-15 01:48:00,2.0,263.0,8.0,314.0,135.0,108.0,488.0,
0055,2022-03-16 11:24:00,8.0,84.0,102.0,369.0,110.0,130.0,694.0,II
0056,2022-03-16 15:05:00,4.0,255.0,64.0,355.0,61.0,246.0,520.0,
0057,2022-03-16 23:48:00,1.0,189.0,16.0,632.0,81.0,529.0,784.0,
0058,2022-03-17 07:36:00,1.0,256.0,18.0,180.0,34.0,151.0,256.0,
0059,2022-03-17 17:36:00,4.0,248.0,54.0,194.0,40.0,126.0,300.0,
0060,2022-03-17 19:36:00,2.0,235.0,16.0,248.0,57.0,140.0,315.0,
0061,2022-03-18 05:48:00,3.0,243.0,40.0,177.0,43.0,124.0,295.0,
0062,2022-03-18 05:48:00,2.0,269.0,16.0,178.0,35.0,132.0,233.0,
0063,2022-03-18 15:48:00,0.0,240.0,10.0,174.0,139.0,139.0,422.0,
0064,2022-03-19 06:12:00,1.0,246.0,10.0,332.0,114.0,151.0,469.0,
0065,2022-03-19 06:12:00,1.0,225.0,16.0,295.0,168.0,206.0,589.0,
